date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:49	42988/42988	---M--	200	added ('OK')	application/x-font-otf	date:Sun,%2009%20Oct%202005%2000:38:32%20GMT	http://coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Th.otf	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Th.otf	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:49	35688/35688	---M--	200	added ('OK')	application/x-font-otf	date:Sat,%2008%20Oct%202005%2014:01:42%20GMT	http://coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Bd.otf	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Bd.otf	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:49	42860/42860	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2010%20Apr%202017%2018:33:18%20GMT	http://coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Bd.ttf	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Bd.ttf	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:50	34860/34860	---M--	200	added ('OK')	application/x-font-otf	date:Sat,%2008%20Oct%202005%2014:11:02%20GMT	http://coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Roman.otf	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Roman.otf	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:50	43192/43192	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2010%20Apr%202017%2018:29:54%20GMT	http://coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Roman.ttf	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/HelveticaNeueLTPro-Roman.ttf	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:51	579693/579693	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202017%2008:02:49%20GMT	http://coffee.bitnet.si/Web/Resources/carousel_hladna.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/carousel_hladna.png	(from http://coffee.bitnet.si/Web/)
21:49:56	366281/366281	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202017%2017:19:06%20GMT	http://coffee.bitnet.si/Web/Resources/bottom_background.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/bottom_background.png	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:57	56917/56917	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202017%2015:08:26%20GMT	http://coffee.bitnet.si/Web/Resources/sensodyne_logo.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/sensodyne_logo.png	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:49:58	36362/36362	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202017%2015:04:24%20GMT	http://coffee.bitnet.si/Web/Resources/gsklogo.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/gsklogo.png	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:50:00	542996/542996	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202017%2021:47:50%20GMT	http://coffee.bitnet.si/Web/Resources/people_group.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/people_group.png	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:50:02	93216/93216	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Apr%202017%2017:23:40%20GMT	http://coffee.bitnet.si/Web/Resources/particles.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/particles.png	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
21:50:02	836510/836510	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202017%2022:20:20%20GMT	http://coffee.bitnet.si/Web/Resources/huge_bg.png	C:/Users/Tomaz%20Setina/Documents/Websites/SensodyneFbApp/coffee.bitnet.si/Web/Resources/huge_bg.png	(from http://coffee.bitnet.si/Web/Resources/landing_styles.css?121)
